id,price,size,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_days_in_year,number_of_rooms,neighbourhood,room_type
38074,80,113,84,102,1.03,10,221,1,Pankow,Entire home_apt
38296,80,548,10,6,0.06,1,310,9,Neukolln,Entire home_apt
40600,50,475,3,50,0.62,2,0,3,Friedrichshain-Kreuzberg,Private room
41217,43,430,2,70,0.7,1,0,7,Pankow,Private room
41306,40,367,1,1,0.02,1,0,9,Pankow,Private room
42742,36,518,1,25,0.32,2,217,4,Friedrichshain-Kreuzberg,Private room
42809,119,231,4,109,1.14,1,285,6,Friedrichshain-Kreuzberg,Entire home_apt
43123,90,477,5,65,0.66,2,186,2,Pankow,Entire home_apt
44083,42,535,3,11,0.12,1,65,9,Treptow - Kopenick,Private room
44423,56,416,2,101,1.02,1,32,2,Friedrichshain-Kreuzberg,Private room
46161,50,69,4,151,1.63,1,0,10,Pankow,Private room
46172,48,71,60,38,0.48,2,264,4,Mitte,Entire home_apt
47938,160,683,3,35,0.35,1,32,11,Pankow,Entire home_apt
48955,70,667,4,0,0,1,129,10,Pankow,Entire home_apt
52734,88,455,5,5,0.07,1,0,6,Friedrichshain-Kreuzberg,Entire home_apt
54952,55,583,4,156,1.6,1,33,4,Mitte,Private room
55298,88,323,2,0,0,1,365,3,Tempelhof - Schoneberg,Shared room
55455,90,168,2,1,0.01,1,67,4,Mitte,Entire home_apt
55853,55,609,60,11,0.16,1,285,4,Charlottenburg-Wilm.,Entire home_apt
57049,200,541,3,81,0.84,3,68,6,Pankow,Entire home_apt
57209,80,685,3,160,1.68,1,264,9,Mitte,Entire home_apt
57792,49,606,2,3,0.03,1,0,6,Steglitz - Zehlendorf,Entire home_apt
58041,55,593,90,72,0.88,1,352,8,Mitte,Entire home_apt
58780,130,461,5,32,0.37,2,211,1,Pankow,Entire home_apt
59249,90,484,5,76,0.85,2,149,6,Pankow,Entire home_apt
60161,120,245,2,7,0.13,4,86,6,Treptow - Kopenick,Entire home_apt
63052,37,581,6,96,1.28,2,347,2,Neukolln,Private room
63468,52,137,2,89,1.16,3,323,2,Friedrichshain-Kreuzberg,Entire home_apt
64245,44,701,3,45,0.5,2,123,3,Pankow,Private room
64590,102,621,2,34,0.39,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
68142,29,332,2,70,0.91,1,58,8,Friedrichshain-Kreuzberg,Private room
68448,84,438,3,220,2.43,10,315,3,Pankow,Entire home_apt
72079,80,387,3,37,0.55,2,349,9,Charlottenburg-Wilm.,Entire home_apt
73302,69,633,3,200,2.14,1,178,2,Tempelhof - Schoneberg,Entire home_apt
74614,185,464,4,59,0.76,1,359,4,Pankow,Entire home_apt
80843,49,95,2,69,0.75,1,28,7,Charlottenburg-Wilm.,Entire home_apt
81049,155,517,4,39,0.43,1,286,7,Mitte,Entire home_apt
81081,66,556,3,238,2.59,1,69,2,Pankow,Entire home_apt
82893,70,438,3,71,0.8,3,225,1,Mitte,Entire home_apt
83183,53,299,2,197,2.23,2,249,1,Pankow,Entire home_apt
83568,70,379,3,2,1.54,1,139,2,Pankow,Entire home_apt
83614,92,287,1,265,2.86,2,323,4,Pankow,Entire home_apt
85560,75,636,3,47,1.09,3,328,6,Mitte,Entire home_apt
86514,80,520,2,44,0.48,1,365,5,Friedrichshain-Kreuzberg,Private room
87549,48,199,2,167,1.82,1,336,8,Friedrichshain-Kreuzberg,Private room
89102,114,380,10,57,0.63,4,109,5,Pankow,Entire home_apt
91290,60,633,2,44,0.48,1,2,1,Neukolln,Entire home_apt
102882,506,1122,3,112,1.24,2,0,16,Friedrichshain-Kreuzberg,Entire home_apt
106290,50,515,1,154,1.69,1,315,6,Friedrichshain-Kreuzberg,Entire home_apt
106331,82,659,60,91,1,2,319,2,Pankow,Entire home_apt
107968,80,167,3,59,0.66,1,363,9,Tempelhof - Schoneberg,Entire home_apt
109658,60,396,3,68,0.77,1,236,3,Friedrichshain-Kreuzberg,Entire home_apt
111579,70,540,4,114,1.33,2,194,7,Mitte,Entire home_apt
114763,130,517,3,53,0.74,1,140,7,Tempelhof - Schoneberg,Entire home_apt
115576,69,353,2,3,0.05,1,344,2,Pankow,Entire home_apt
116832,75,489,14,3,0.06,1,310,3,Friedrichshain-Kreuzberg,Entire home_apt
117649,68,611,60,84,0.93,1,266,6,Friedrichshain-Kreuzberg,Entire home_apt
121888,125,588,7,5,0.06,1,0,4,Friedrichshain-Kreuzberg,Entire home_apt
125349,70,690,2,26,0.49,1,340,1,Treptow - Kopenick,Entire home_apt
127708,89,366,2,443,5.2,5,295,2,Mitte,Entire home_apt
128827,59,196,2,16,0.37,1,302,2,Friedrichshain-Kreuzberg,Entire home_apt
135097,96,174,1,148,1.67,1,202,9,Tempelhof - Schoneberg,Entire home_apt
138955,75,195,2,191,2.13,1,0,7,Friedrichshain-Kreuzberg,Entire home_apt
139769,55,80,2,226,2.54,1,322,5,Mitte,Private room
143605,55,640,30,55,0.63,1,312,6,Neukolln,Entire home_apt
145249,70,538,3,107,1.41,1,50,1,Friedrichshain-Kreuzberg,Private room
147946,31,476,183,39,0.45,1,324,1,Pankow,Entire home_apt
149849,40,485,2,47,0.54,1,84,2,Mitte,Private room
151249,81,704,1,10,0.26,1,342,6,Friedrichshain-Kreuzberg,Entire home_apt
153015,52,211,3,127,1.61,1,341,1,Pankow,Private room
155048,100,302,180,4,0.04,1,282,3,Pankow,Entire home_apt
156010,36,101,90,95,1.06,1,1,2,Mitte,Entire home_apt
157546,88,660,5,45,0.53,1,291,5,Friedrichshain-Kreuzberg,Entire home_apt
157839,29,70,1,252,2.96,1,324,1,Mitte,Private room
158890,100,688,10,3,0.08,1,325,2,Friedrichshain-Kreuzberg,Entire home_apt
159454,161,281,2,43,0.57,1,222,8,Charlottenburg-Wilm.,Entire home_apt
160517,65,682,2,5,2.11,1,214,2,Reinickendorf,Entire home_apt
161425,70,765,2,103,1.36,1,42,3,Pankow,Entire home_apt
163287,29,474,150,71,0.8,2,359,6,Friedrichshain-Kreuzberg,Entire home_apt
163411,80,372,5,12,0.14,1,253,10,Friedrichshain-Kreuzberg,Entire home_apt
167189,49,368,3,374,4.21,1,5,3,Friedrichshain-Kreuzberg,Private room
168615,49,175,2,6,0.08,1,159,6,Pankow,Entire home_apt
169603,59,287,1,28,0.35,2,16,3,Lichtenberg,Entire home_apt
169907,30,54,1,13,0.32,1,0,3,Tempelhof - Schoneberg,Private room
170582,23,40,5,15,0.88,1,190,3,Charlottenburg-Wilm.,Private room
170652,40,399,5,5,0.07,1,362,3,Mitte,Private room
170974,35,587,7,48,0.63,1,89,5,Neukolln,Private room
171746,70,466,4,84,1.73,1,320,3,Pankow,Entire home_apt
173153,80,412,2,33,0.38,1,0,2,Pankow,Entire home_apt
174391,42,631,1,1,0.03,1,0,1,Mitte,Private room
174547,96,497,60,31,0.37,4,0,1,Mitte,Entire home_apt
174560,75,281,60,56,0.71,4,280,8,Mitte,Entire home_apt
174576,96,168,60,41,0.5,4,364,4,Mitte,Entire home_apt
174579,76,615,60,81,0.98,4,0,9,Mitte,Entire home_apt
175667,46,433,60,8,0.09,2,309,2,Tempelhof - Schoneberg,Entire home_apt
176342,296,815,1,18,0.31,3,331,14,Friedrichshain-Kreuzberg,Entire home_apt
176355,244,360,1,17,0.2,3,333,11,Friedrichshain-Kreuzberg,Entire home_apt
176396,20,214,1,11,0.48,1,0,9,Reinickendorf,Private room
176852,50,401,3,1,0.03,1,1,2,Friedrichshain-Kreuzberg,Entire home_apt
177486,59,488,2,39,0.49,1,96,8,Charlottenburg-Wilm.,Entire home_apt
178347,75,478,2,71,0.83,1,243,3,Neukolln,Entire home_apt
179102,170,557,2,118,1.42,1,244,1,Pankow,Entire home_apt
180440,39,570,60,18,0.23,1,202,1,Charlottenburg-Wilm.,Entire home_apt
181160,39,571,2,385,4.36,2,167,3,Friedrichshain-Kreuzberg,Private room
183206,64,74,1,389,4.46,3,287,3,Mitte,Entire home_apt
183918,35,500,15,15,0.19,1,0,7,Pankow,Private room
183988,100,564,2,350,4.21,1,272,1,Charlottenburg-Wilm.,Entire home_apt
183996,375,998,2,36,0.86,3,224,5,Pankow,Entire home_apt
185960,29,239,7,14,0.16,1,258,3,Neukolln,Private room
186851,32,373,62,51,0.65,1,205,1,Tempelhof - Schoneberg,Entire home_apt
186908,45,85,2,2,0.03,4,86,5,Treptow - Kopenick,Entire home_apt
186999,120,266,3,7,0.13,4,86,1,Treptow - Kopenick,Entire home_apt
187206,25,302,2,224,2.63,1,322,4,Mitte,Private room
187326,59,553,3,63,1.03,1,130,3,Steglitz - Zehlendorf,Entire home_apt
188565,86,96,1,4,0.17,4,87,6,Reinickendorf,Entire home_apt
188922,45,621,28,14,0.16,1,0,9,Pankow,Entire home_apt
189288,100,415,3,63,0.79,2,325,3,Pankow,Entire home_apt
189596,80,433,4,79,0.9,1,0,2,Mitte,Entire home_apt
190448,50,520,2,3,0.04,2,242,3,Neukolln,Entire home_apt
191023,49,446,1,40,0.75,1,0,5,Mitte,Private room
192050,55,487,120,25,0.3,2,105,3,Pankow,Entire home_apt
192052,79,768,2,212,2.44,3,6,5,Mitte,Entire home_apt
192103,75,368,2,253,2.94,3,0,2,Mitte,Entire home_apt
192499,49,210,2,398,4.51,2,140,3,Friedrichshain-Kreuzberg,Private room
193625,38,363,3,341,3.92,1,43,3,Mitte,Private room
194374,65,604,3,33,0.4,6,328,3,Lichtenberg,Entire home_apt
194465,75,499,3,132,1.54,1,301,4,Friedrichshain-Kreuzberg,Private room
194546,75,626,4,90,1.12,2,62,7,Mitte,Entire home_apt
194694,38,44,3,101,1.17,2,142,7,Lichtenberg,Private room
195467,89,330,2,6,0.28,1,338,5,Friedrichshain-Kreuzberg,Private room
196149,74,663,2,301,4.48,1,66,8,Mitte,Entire home_apt
196285,50,164,3,92,1.06,3,0,8,Friedrichshain-Kreuzberg,Entire home_apt
197291,120,380,1,27,0.31,1,352,10,Pankow,Entire home_apt
198584,38,312,7,9,0.2,2,321,2,Charlottenburg-Wilm.,Private room
198896,25,440,1,10,0.13,1,0,2,Tempelhof - Schoneberg,Private room
200125,89,549,4,0,0,1,55,5,Steglitz - Zehlendorf,Entire home_apt
201224,88,639,3,189,2.31,1,133,1,Mitte,Entire home_apt
203634,125,732,4,110,1.29,1,97,2,Pankow,Entire home_apt
204609,49,732,2,129,1.49,1,21,5,Lichtenberg,Private room
204617,50,90,1,2,0.1,1,0,3,Charlottenburg-Wilm.,Entire home_apt
205296,100,640,5,0,0,1,282,7,Neukolln,Entire home_apt
206021,35,140,3,5,1.17,1,316,5,Charlottenburg-Wilm.,Private room
206454,70,415,3,22,0.28,1,15,4,Mitte,Entire home_apt
207740,195,578,3,7,0.46,1,0,2,Friedrichshain-Kreuzberg,Entire home_apt
208495,150,689,2,0,0,1,0,1,Friedrichshain-Kreuzberg,Entire home_apt
209649,200,738,7,31,0.35,1,323,9,Charlottenburg-Wilm.,Private room
210734,165,318,3,245,2.82,1,295,9,Mitte,Entire home_apt
212348,55,479,2,0,0,1,26,8,Friedrichshain-Kreuzberg,Private room
214491,35,358,1,161,1.9,1,326,3,Mitte,Private room
214518,51,147,1,7,0.09,2,291,5,Charlottenburg-Wilm.,Private room
214784,35,474,2,189,2.17,1,64,7,Neukolln,Private room
214855,45,220,3,195,2.48,1,129,8,Mitte,Private room
220445,60,152,30,16,0.24,1,276,1,Charlottenburg-Wilm.,Entire home_apt
220808,45,169,2,29,0.39,1,328,1,Steglitz - Zehlendorf,Private room
221015,75,656,1,413,4.78,2,107,4,Mitte,Entire home_apt
222784,69,729,60,195,2.32,1,339,2,Mitte,Entire home_apt
223622,45,671,2,6,0.08,1,0,8,Friedrichshain-Kreuzberg,Entire home_apt
226925,50,440,2,2,0.05,4,113,4,Treptow - Kopenick,Entire home_apt
227072,110,343,5,29,0.34,1,3,9,Mitte,Entire home_apt
228964,95,672,1,19,0.5,2,355,4,Mitte,Private room
229075,75,233,14,41,0.48,1,136,4,Friedrichshain-Kreuzberg,Entire home_apt
229099,30,372,1,200,2.43,1,311,2,Treptow - Kopenick,Private room
229348,65,507,5,51,0.6,2,311,1,Mitte,Entire home_apt
229363,65,119,4,35,0.48,2,276,3,Mitte,Entire home_apt
229776,46,524,3,106,1.23,1,236,1,Mitte,Private room
230611,65,578,60,7,0.09,1,104,7,Tempelhof - Schoneberg,Entire home_apt
230824,28,706,1,130,1.56,3,93,1,Friedrichshain-Kreuzberg,Private room
231220,30,196,60,18,0.23,1,221,1,Charlottenburg-Wilm.,Entire home_apt
231598,49,453,60,62,0.76,1,220,2,Tempelhof - Schoneberg,Entire home_apt
231853,55,406,60,7,0.1,1,107,3,Friedrichshain-Kreuzberg,Entire home_apt
233083,98,500,60,36,0.43,1,211,5,Charlottenburg-Wilm.,Entire home_apt
233453,32,362,2,30,0.35,1,251,2,Neukolln,Private room
233770,55,465,2,15,0.26,1,345,2,Marzahn - Hellersdorf,Entire home_apt
235766,39,639,120,42,0.52,1,359,3,Mitte,Entire home_apt
236509,82,490,90,39,0.45,2,244,9,Mitte,Entire home_apt
236552,46,343,1,277,3.21,1,79,1,Friedrichshain-Kreuzberg,Private room
237038,60,454,2,127,1.48,3,103,8,Mitte,Private room
237359,60,595,5,3,0.06,1,212,3,Reinickendorf,Entire home_apt
237670,43,194,2,5,0.13,2,277,1,Neukolln,Entire home_apt
238275,85,704,8,7,0.09,1,307,2,Mitte,Entire home_apt
238396,60,201,3,373,4.38,2,91,6,Pankow,Entire home_apt
238569,58,525,4,80,0.96,1,271,6,Pankow,Private room
239139,55,367,90,101,1.19,2,191,3,Mitte,Private room
239314,30,229,1,55,0.67,3,27,2,Friedrichshain-Kreuzberg,Private room
240169,31,228,3,146,4.33,3,0,4,Neukolln,Private room
240735,35,123,5,16,0.2,2,159,2,Marzahn - Hellersdorf,Private room
242366,45,61,2,105,1.37,1,232,2,Mitte,Entire home_apt
242794,100,388,4,42,0.53,1,274,1,Friedrichshain-Kreuzberg,Entire home_apt
242908,95,208,5,0,0,2,304,4,Steglitz - Zehlendorf,Entire home_apt
242927,95,750,5,1,0.16,2,272,6,Steglitz - Zehlendorf,Entire home_apt
242978,63,494,2,73,1.02,6,251,10,Mitte,Entire home_apt
243057,175,341,2,24,0.55,1,362,12,Mitte,Entire home_apt
243063,130,753,1,179,2.31,2,44,3,Mitte,Entire home_apt
243081,120,217,1,150,1.9,2,81,3,Mitte,Entire home_apt
243238,64,525,2,69,1.53,1,325,8,Treptow - Kopenick,Entire home_apt
244425,55,398,90,163,1.92,4,304,1,Tempelhof - Schoneberg,Entire home_apt
244924,29,74,1,62,0.73,1,349,7,Tempelhof - Schoneberg,Private room
245744,150,389,3,104,1.27,1,302,12,Mitte,Entire home_apt
245809,76,579,2,32,0.42,2,311,2,Pankow,Entire home_apt
245827,79,778,2,67,0.92,2,291,7,Mitte,Entire home_apt
245991,23,65,30,3,0.05,2,0,7,Reinickendorf,Entire home_apt
246007,19,327,30,6,0.08,2,129,8,Reinickendorf,Entire home_apt
248192,49,325,1,119,1.49,6,243,1,Tempelhof - Schoneberg,Entire home_apt
248375,45,718,14,12,0.15,3,0,1,Charlottenburg-Wilm.,Private room
249220,45,106,2,5,0.12,1,0,2,Charlottenburg-Wilm.,Private room
249419,91,359,3,148,1.78,1,311,3,Pankow,Entire home_apt
250007,69,81,2,114,1.49,1,211,9,Tempelhof - Schoneberg,Entire home_apt
250023,70,682,90,44,0.56,1,270,4,Charlottenburg-Wilm.,Entire home_apt
250067,55,735,4,3,0.04,1,0,2,Neukolln,Entire home_apt
250121,45,461,3,6,0.08,4,310,1,Pankow,Private room
250138,50,149,7,3,0.04,4,310,1,Pankow,Private room
250171,55,70,3,8,0.1,4,279,4,Pankow,Private room
250253,93,129,3,14,0.26,4,236,4,Charlottenburg-Wilm.,Entire home_apt
250376,175,205,2,94,1.13,2,158,1,Friedrichshain-Kreuzberg,Private room
250684,95,175,3,14,0.18,4,319,7,Pankow,Private room
250687,52,553,3,28,0.36,2,0,8,Tempelhof - Schoneberg,Entire home_apt
250704,59,404,3,18,0.32,1,309,2,Tempelhof - Schoneberg,Entire home_apt
250707,58,703,3,4,0.06,4,238,1,Charlottenburg-Wilm.,Entire home_apt
250729,72,74,3,1,0.05,4,283,1,Tempelhof - Schoneberg,Entire home_apt
250753,95,750,3,7,0.65,4,211,10,Mitte,Entire home_apt
251398,40,525,1,26,0.34,1,322,7,Spandau,Private room
251548,55,731,1,30,0.36,1,35,1,Friedrichshain-Kreuzberg,Entire home_apt
252664,79,351,2,51,0.6,1,308,1,Mitte,Entire home_apt
252699,56,473,60,2,0.02,1,290,3,Friedrichshain-Kreuzberg,Entire home_apt
252933,32,331,2,111,1.49,1,251,3,Tempelhof - Schoneberg,Private room
252967,32,486,2,40,0.5,3,279,3,Friedrichshain-Kreuzberg,Private room
252993,32,558,2,131,1.68,3,146,7,Friedrichshain-Kreuzberg,Private room
253005,28,115,2,30,0.36,3,304,9,Friedrichshain-Kreuzberg,Private room
253128,49,571,3,63,1.18,2,35,4,Neukolln,Private room
254576,70,95,91,6,0.13,1,190,2,Charlottenburg-Wilm.,Entire home_apt
254762,80,377,93,95,1.11,3,97,1,Friedrichshain-Kreuzberg,Entire home_apt
254788,75,455,93,99,1.2,3,305,8,Friedrichshain-Kreuzberg,Entire home_apt
255557,55,67,3,112,1.45,1,44,1,Friedrichshain-Kreuzberg,Entire home_apt
255722,65,351,3,79,0.95,1,254,2,Friedrichshain-Kreuzberg,Entire home_apt
255778,96,584,2,142,2.83,1,244,3,Friedrichshain-Kreuzberg,Entire home_apt
255829,51,95,3,35,0.47,2,275,9,Tempelhof - Schoneberg,Entire home_apt
256058,33,223,1,74,0.97,1,355,5,Friedrichshain-Kreuzberg,Private room
257317,59,731,2,69,0.95,3,219,2,Steglitz - Zehlendorf,Entire home_apt
257373,99,270,2,113,1.37,1,91,3,Pankow,Entire home_apt
257658,49,245,2,201,2.51,1,13,3,Pankow,Private room
257766,148,790,5,66,0.78,1,124,3,Mitte,Entire home_apt
260095,55,112,1,37,0.67,1,295,7,Neukolln,Entire home_apt
260104,69,119,5,9,0.17,1,48,3,Friedrichshain-Kreuzberg,Entire home_apt
260365,69,282,4,0,0,1,354,5,Tempelhof - Schoneberg,Entire home_apt
261205,60,527,14,0,0,1,341,8,Friedrichshain-Kreuzberg,Entire home_apt
261452,55,426,3,72,0.85,4,220,2,Friedrichshain-Kreuzberg,Entire home_apt
261834,60,561,2,129,1.55,3,97,3,Mitte,Private room
261937,29,83,58,0,0,1,310,3,Tempelhof - Schoneberg,Private room
263817,45,231,2,3,1.02,1,90,2,Neukolln,Private room
264459,60,322,2,426,5.29,2,91,4,Pankow,Entire home_apt
265286,75,442,5,1,0.03,2,364,4,Reinickendorf,Entire home_apt
265354,60,264,1,4,0.07,14,285,2,Friedrichshain-Kreuzberg,Private room
265389,19,559,1,1,0.03,14,12,7,Friedrichshain-Kreuzberg,Private room
265394,29,409,1,4,0.09,14,320,3,Friedrichshain-Kreuzberg,Private room
265400,29,621,1,1,0.03,14,235,3,Friedrichshain-Kreuzberg,Private room
265402,9,536,1,10,0.23,14,276,6,Friedrichshain-Kreuzberg,Shared room
265408,9,615,1,5,0.09,14,275,2,Friedrichshain-Kreuzberg,Shared room
265416,9,696,1,58,0.73,14,319,3,Friedrichshain-Kreuzberg,Shared room
265433,9,365,1,25,0.42,14,318,4,Friedrichshain-Kreuzberg,Shared room
265444,9,506,1,73,0.96,14,314,4,Friedrichshain-Kreuzberg,Shared room
265955,55,60,93,11,0.14,1,66,6,Tempelhof - Schoneberg,Entire home_apt
266086,85,606,3,5,0.1,1,243,9,Treptow - Kopenick,Entire home_apt
266181,48,354,7,30,0.39,1,0,8,Friedrichshain-Kreuzberg,Entire home_apt
267399,55,540,62,40,0.51,1,322,4,Neukolln,Entire home_apt
267764,129,719,2,89,1.11,1,0,1,Mitte,Entire home_apt
267951,69,102,2,42,0.74,1,94,7,Pankow,Entire home_apt
268910,46,191,3,16,0.33,1,158,1,Treptow - Kopenick,Entire home_apt
268967,55,287,3,56,0.75,4,268,1,Friedrichshain-Kreuzberg,Entire home_apt
268974,53,256,5,14,0.21,1,311,2,Neukolln,Entire home_apt
269455,65,443,1,2,0.49,1,0,2,Friedrichshain-Kreuzberg,Entire home_apt
270477,89,474,3,166,1.98,1,316,3,Pankow,Entire home_apt
271340,70,229,5,58,0.74,1,7,1,Mitte,Entire home_apt
271739,43,731,3,202,2.6,2,99,1,Friedrichshain-Kreuzberg,Private room
273011,125,330,3,64,0.84,1,296,4,Charlottenburg-Wilm.,Entire home_apt
273076,61,265,4,6,0.1,2,0,2,Mitte,Entire home_apt
273106,64,496,62,18,0.23,2,37,2,Mitte,Entire home_apt
274072,60,157,3,126,1.57,1,0,7,Pankow,Entire home_apt
274623,65,153,3,28,0.35,1,0,5,Mitte,Entire home_apt
274686,80,325,3,23,0.28,1,0,10,Friedrichshain-Kreuzberg,Entire home_apt
274798,55,688,2,81,1.05,2,334,6,Friedrichshain-Kreuzberg,Private room
275472,70,324,2,39,0.51,1,338,9,Neukolln,Entire home_apt
276044,50,336,90,104,1.25,4,341,2,Tempelhof - Schoneberg,Entire home_apt
277653,59,386,60,50,0.6,4,314,10,Tempelhof - Schoneberg,Entire home_apt
278860,65,114,3,67,0.81,2,0,10,Neukolln,Entire home_apt
279315,40,163,20,4,0.06,1,250,8,Neukolln,Private room
279344,76,609,2,42,0.52,1,365,2,Mitte,Private room
279504,45,380,270,86,1.03,1,190,2,Friedrichshain-Kreuzberg,Entire home_apt
281152,60,697,14,0,0,1,0,1,Pankow,Entire home_apt
282214,29,376,3,0,0,1,0,1,Charlottenburg-Wilm.,Private room
282773,34,303,30,15,0.23,3,280,1,Charlottenburg-Wilm.,Entire home_apt
282786,50,253,3,18,0.23,3,0,2,Charlottenburg-Wilm.,Entire home_apt
282797,34,459,30,18,0.27,3,249,2,Charlottenburg-Wilm.,Entire home_apt
284390,75,628,1,3,0.08,1,0,2,Friedrichshain-Kreuzberg,Entire home_apt
288484,65,300,5,8,0.1,1,61,4,Neukolln,Private room
290410,80,318,60,18,0.28,1,3,4,Charlottenburg-Wilm.,Private room
292300,120,381,4,10,0.14,1,0,3,Mitte,Entire home_apt
292864,50,119,1,498,6.29,3,242,7,Pankow,Private room
295675,54,641,3,27,0.91,1,119,8,Neukolln,Private room
297521,29,228,2,21,0.27,2,227,5,Friedrichshain-Kreuzberg,Private room
297594,30,633,10,17,0.22,2,325,3,Tempelhof - Schoneberg,Entire home_apt
298056,40,422,85,15,0.29,1,119,2,Friedrichshain-Kreuzberg,Entire home_apt
301773,64,570,2,57,0.77,2,0,1,Pankow,Entire home_apt
301887,55,602,90,109,1.32,4,108,2,Tempelhof - Schoneberg,Entire home_apt
302167,66,149,3,66,0.98,2,0,3,Pankow,Entire home_apt
303097,66,302,2,31,0.4,1,343,2,Pankow,Private room
304904,37,135,2,161,1.98,1,118,2,Pankow,Private room
305987,69,559,3,201,2.51,1,312,6,Pankow,Entire home_apt
306041,60,329,2,97,1.18,3,108,3,Mitte,Private room
306312,165,643,4,162,2.01,2,268,1,Pankow,Entire home_apt
306502,70,292,4,3,0.11,1,0,4,Charlottenburg-Wilm.,Entire home_apt
306829,38,415,45,35,0.46,1,177,2,Charlottenburg-Wilm.,Entire home_apt
307587,69,668,2,8,0.16,1,0,6,Mitte,Entire home_apt
308421,35,309,2,8,0.26,2,121,1,Mitte,Private room
309511,65,478,3,12,0.14,1,0,5,Pankow,Entire home_apt
311703,235,499,3,127,1.62,1,276,11,Tempelhof - Schoneberg,Entire home_apt
313876,38,701,30,1,0.05,9,67,9,Charlottenburg-Wilm.,Entire home_apt
315533,54,661,60,44,0.54,1,176,4,Tempelhof - Schoneberg,Entire home_apt
316327,30,74,2,142,1.8,1,27,2,Friedrichshain-Kreuzberg,Private room
316366,31,263,90,4,0.14,1,159,6,Charlottenburg-Wilm.,Entire home_apt
316462,84,640,1,234,2.85,3,343,7,Mitte,Entire home_apt
316547,45,650,2,76,0.98,2,30,2,Pankow,Private room
320028,43,639,2,47,0.63,1,339,1,Tempelhof - Schoneberg,Private room
320279,77,699,7,56,0.83,2,268,4,Mitte,Entire home_apt
320305,38,196,4,92,1.7,1,0,3,Friedrichshain-Kreuzberg,Private room
321295,39,718,2,175,2.25,3,155,2,Tempelhof - Schoneberg,Entire home_apt
321308,44,566,2,46,0.59,3,227,2,Tempelhof - Schoneberg,Entire home_apt
321378,149,669,1,126,1.55,3,347,3,Mitte,Entire home_apt
322463,87,665,3,273,3.33,10,275,1,Pankow,Entire home_apt
322520,95,386,3,253,3.09,10,265,5,Pankow,Entire home_apt
323243,27,111,3,52,0.64,11,220,1,Neukolln,Private room
323250,27,612,3,56,0.69,11,352,6,Neukolln,Private room
323255,27,172,3,121,1.49,11,349,4,Neukolln,Private room
323259,27,213,3,147,1.84,11,341,2,Neukolln,Private room
323260,36,413,3,197,2.56,11,248,8,Neukolln,Entire home_apt
323920,30,115,3,1,0.06,2,0,5,Neukolln,Private room
323951,30,151,4,1,0.06,2,0,1,Neukolln,Private room
325979,55,91,3,27,0.35,1,73,2,Steglitz - Zehlendorf,Private room
326566,28,36,3,43,1.12,1,275,2,Pankow,Private room
326608,72,264,3,14,0.18,1,0,3,Friedrichshain-Kreuzberg,Entire home_apt
